K,inertia,calinski_harabasz,davies_bouldin,silhouette
2,21233.90263333362,553.2564625979817,2.9171303244619944,0.10064090442776752
3,20317.90771888696,397.8703114901276,2.816205053851258,0.09687262787331719
4,19830.435091387022,311.2634036089802,3.2339956103617427,0.07139907322013864
5,19437.106818716726,262.5369142174993,3.411740433843274,0.056793768943541316
6,19029.355059667814,235.16303936009672,3.382910472993783,0.05180426131335656
7,18802.00251284959,208.01965311563097,3.7141047806220153,0.05690567203061393
8,18376.901928858948,198.32747341285867,3.258398883561761,0.05958330551467396
